recruit_no,title,company,company_desc,skills,career,location,badges,deadline_text,deadline_date,detail_url
49682030,임베디드 SW 개발자 (신입/경력),㈜에이스웍스코리아,"연구개발 중심의 미래모빌리티 전문 솔루션 기업으로, EV 및 자율주행 분야에 맞춤형 솔루션을 제공하는 혁신 기업",C;C++;Linux;CAN;MCU,경력,서울 강남구 외 5,합격축하금,~08/29(토),2026-08-29 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49682030?sc=322
49682013,자율주행 알고리즘 개발자,㈜에이스웍스코리아,"연구개발 중심의 미래모빌리티 전문 솔루션 기업으로, EV 및 자율주행 분야에 맞춤형 솔루션을 제공하는 혁신 기업",C++;Python;ROS;자율주행,경력2년↑,서울 강남구 외 5,합격축하금,~08/29(토),2026-08-29 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49682013?sc=322
49682000,자율주행 플랫폼 소프트웨어 엔지니어,㈜에이스웍스코리아,"연구개발 중심의 미래모빌리티 전문 솔루션 기업으로, EV 및 자율주행 분야에 맞춤형 솔루션을 제공하는 혁신 기업",C;C++;Python;Linux;CAN,경력2년↑,서울 강남구 외 5,합격축하금,~08/29(토),2026-08-29 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49682000?sc=322
49676913,UX/UI 디자이너,아타드㈜(ATAD Corp.,"블록체인 기술 기반 Web3 서비스 및 플랫폼 구축 전문 스타트업, 글로벌 생태계 기여를 목표로 지속적인 도전",Adobe XD;Figma;Notion;Sketch;Photoshop,경력4년↑,서울 서초구,합격축하금,~08/28(금),2026-08-28 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49676913?sc=322
49676907,[인공지능] LLM 개발자,아타드㈜(ATAD Corp.,"블록체인 기술 기반 Web3 서비스 및 플랫폼 구축 전문 스타트업, 글로벌 생태계 기여를 목표로 지속적인 도전",Python;Pytorch;Tensorflow,경력1년↑,서울 서초구,합격축하금,~08/28(금),2026-08-28 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49676907?sc=322
49676398,스마트 팩토리 설비 기구설계 담당자,웨이온㈜,AI 기반 웨비나 플랫폼 '웨비나우'를 통해 기업의 마케팅과 세일즈를 혁신하는 B2B 솔루션 제공,Solidworks;AutoCAD;CAD;NX;2D 설계,경력3년↑,서울 금천구,합격축하금,~08/27(목),2026-08-27 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49676398?sc=322
49674597,Product Manager,㈜넥스트챕터,"AI 기술을 활용하여 브랜드의 잠재력을 극대화하는 최초의 브랜드 애그리게이터로서, 누적 275억원의 투자 유치를 통해 10개 이상의 브랜드를 운영하며 급성장 중",,경력2년↑,서울 성동구,합격축하금,~08/28(금),2026-08-28 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49674597?sc=322
49674372,DL Compiler Engineer,㈜모빌린트,엣지용 AI 반도체(NPU) 개발을 선도하며 인공지능 기술의 경계를 확장하는 AI 반도체 스타트업,Python;Pytorch;Tensorflow,경력무관,서울 강남구,합격축하금,~08/24(월),2026-08-24 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49674372?sc=322
49674297,DL Research Engineer,㈜모빌린트,엣지용 AI 반도체(NPU) 개발을 선도하며 인공지능 기술의 경계를 확장하는 AI 반도체 스타트업,C;C++;Python;Pytorch;Tensorflow,경력무관,서울 강남구,합격축하금,~08/24(월),2026-08-24 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49674297?sc=322
49674263,Software QA Engineer,㈜모빌린트,엣지용 AI 반도체(NPU) 개발을 선도하며 인공지능 기술의 경계를 확장하는 AI 반도체 스타트업,,경력무관,서울 강남구,합격축하금,~08/24(월),2026-08-24 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49674263?sc=322
49674231,DL Optimization Engineer,㈜모빌린트,엣지용 AI 반도체(NPU) 개발을 선도하며 인공지능 기술의 경계를 확장하는 AI 반도체 스타트업,C;C++;Python;Pytorch;Tensorflow,경력무관,서울 강남구,합격축하금,~08/24(월),2026-08-24 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49674231?sc=322
49674164,Strategic Sourcing 매니저,㈜모빌린트,엣지용 AI 반도체(NPU) 개발을 선도하며 인공지능 기술의 경계를 확장하는 AI 반도체 스타트업,,경력7년↑,서울 강남구,합격축하금,~08/24(월),2026-08-24 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49674164?sc=322
49673815,Software Engineer(NPU SD),㈜모빌린트,엣지용 AI 반도체(NPU) 개발을 선도하며 인공지능 기술의 경계를 확장하는 AI 반도체 스타트업,C;C++;Python;Linux;SDK,경력무관,서울 강남구,합격축하금,~08/28(금),2026-08-28 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49673815?sc=322
49673602,Linux System Engineer,㈜모빌린트,엣지용 AI 반도체(NPU) 개발을 선도하며 인공지능 기술의 경계를 확장하는 AI 반도체 스타트업,C;C++;Git;Python;Pytorch,경력3년↑,서울 강남구,합격축하금,~08/24(월),2026-08-24 23:00:00,https://www.jobkorea.co.kr/Recruit/GI_Read/49673602?sc=322
